               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032296,            0.017953,           0.0091981,             0.49893,             0.45891,             0.46572,             0.25506,            0.038593,           0.0093572,            0.011022,            0.008812,            0.008812,            0.008812
                  38,            0.033811,             0.01899,           0.0099909,             0.40068,             0.41405,              0.3811,             0.19179,            0.039757,           0.0095961,            0.015416,            0.008779,            0.008779,            0.008779
                  39,            0.033606,            0.019605,           0.0093202,             0.47255,             0.42554,             0.40959,             0.21714,            0.038263,           0.0096293,            0.013359,            0.008746,            0.008746,            0.008746
                  40,            0.031691,            0.018621,           0.0095002,             0.47914,             0.47943,             0.44461,             0.23287,            0.037812,           0.0094776,           0.0083601,            0.008713,            0.008713,            0.008713
                  41,            0.032182,            0.018194,           0.0090173,             0.51271,             0.41701,             0.42013,             0.22596,            0.040454,            0.009614,            0.011788,             0.00868,             0.00868,             0.00868
                  42,            0.032635,            0.018158,           0.0096867,             0.52931,             0.46182,              0.4634,             0.24101,             0.03955,           0.0093347,            0.015094,            0.008647,            0.008647,            0.008647
                  43,            0.033108,            0.018103,           0.0091785,             0.49211,             0.48603,              0.4614,             0.23781,            0.037429,           0.0091692,           0.0096776,            0.008614,            0.008614,            0.008614
                  44,            0.031907,            0.017813,           0.0081872,             0.55615,             0.46099,             0.48498,             0.26079,            0.037429,           0.0093217,           0.0096034,            0.008581,            0.008581,            0.008581
                  45,             0.03161,            0.018104,           0.0075302,              0.4965,              0.4918,             0.46956,             0.25408,             0.03855,           0.0093963,           0.0098187,            0.008548,            0.008548,            0.008548
                  46,            0.030928,            0.017631,           0.0085321,             0.49915,             0.50509,              0.4447,             0.23814,            0.036948,           0.0094856,            0.012001,            0.008515,            0.008515,            0.008515
                  47,            0.030961,            0.017417,           0.0079364,             0.49194,             0.45349,             0.45226,             0.23993,            0.038075,            0.009427,            0.015162,            0.008482,            0.008482,            0.008482
                  48,            0.031454,            0.018708,           0.0074597,             0.53184,             0.49943,              0.4805,             0.25931,             0.03738,            0.009277,            0.013373,            0.008449,            0.008449,            0.008449
                  49,            0.030683,             0.01771,           0.0080316,             0.54467,             0.46491,             0.47671,             0.24239,            0.038316,           0.0091309,            0.010759,            0.008416,            0.008416,            0.008416
                  50,            0.029785,            0.017984,           0.0088839,             0.48127,             0.47893,             0.45655,             0.24125,            0.037471,           0.0093193,            0.010288,            0.008383,            0.008383,            0.008383
                  51,            0.031069,            0.017469,           0.0087604,             0.47132,             0.44896,             0.42829,             0.22241,            0.037296,             0.00935,           0.0096018,             0.00835,             0.00835,             0.00835
                  52,            0.030268,            0.018281,           0.0087307,             0.52593,             0.44914,             0.45552,             0.24285,            0.037984,           0.0094088,            0.012644,            0.008317,            0.008317,            0.008317
                  53,            0.030478,            0.017737,           0.0083642,             0.54389,               0.446,             0.46877,             0.25857,            0.037099,            0.009192,            0.011829,            0.008284,            0.008284,            0.008284
                  54,            0.031604,            0.017951,           0.0079049,             0.52165,             0.49631,               0.488,             0.25538,            0.038024,           0.0095698,            0.012577,            0.008251,            0.008251,            0.008251
                  55,            0.031363,             0.01774,           0.0072839,             0.55233,             0.50073,             0.50745,             0.27991,            0.036384,             0.00923,            0.010241,            0.008218,            0.008218,            0.008218
                  56,            0.030243,            0.017598,           0.0067454,             0.51606,             0.49818,             0.48532,             0.26235,            0.037746,           0.0092961,            0.011803,            0.008185,            0.008185,            0.008185
                  57,            0.029254,            0.016981,           0.0071362,             0.52015,             0.46616,             0.46478,             0.24382,             0.03732,            0.009688,            0.010181,            0.008152,            0.008152,            0.008152
                  58,             0.02965,            0.017015,            0.006427,             0.52383,               0.476,             0.48124,             0.25388,            0.037251,           0.0099396,             0.01097,            0.008119,            0.008119,            0.008119
                  59,            0.030827,            0.017215,           0.0076338,             0.55973,             0.47704,             0.48915,             0.26649,            0.037094,           0.0095353,            0.011336,            0.008086,            0.008086,            0.008086
                  60,            0.029292,            0.017003,           0.0071957,             0.50465,             0.48665,             0.47473,             0.25041,            0.036558,           0.0095468,            0.011383,            0.008053,            0.008053,            0.008053
                  61,            0.029831,            0.016745,           0.0068554,             0.47803,             0.48619,             0.46176,             0.25352,            0.035333,           0.0098489,            0.011045,             0.00802,             0.00802,             0.00802
                  62,            0.030497,            0.017381,           0.0073186,             0.51677,              0.5208,              0.4859,             0.26157,            0.036247,           0.0092337,             0.01285,            0.007987,            0.007987,            0.007987
                  63,            0.029677,            0.017052,           0.0070103,             0.57364,             0.44812,             0.46889,             0.25635,             0.03587,           0.0095189,             0.01056,            0.007954,            0.007954,            0.007954
                  64,            0.028459,            0.016572,           0.0070468,             0.51881,             0.47953,             0.47112,             0.25628,            0.036236,           0.0095244,            0.013263,            0.007921,            0.007921,            0.007921
                  65,            0.030173,            0.016905,           0.0069501,             0.57921,             0.46423,             0.48508,              0.2544,            0.036277,           0.0097206,            0.013104,            0.007888,            0.007888,            0.007888
                  66,            0.028623,            0.016328,           0.0059088,             0.53267,             0.47534,             0.46688,             0.25341,            0.037637,           0.0093989,            0.010001,            0.007855,            0.007855,            0.007855
                  67,            0.029047,            0.016496,           0.0061679,             0.48958,             0.48748,             0.45572,             0.25052,            0.036331,           0.0092612,           0.0093736,            0.007822,            0.007822,            0.007822
                  68,            0.029411,            0.016729,           0.0073027,             0.50554,             0.49335,             0.47225,             0.25538,            0.035824,           0.0093824,            0.012504,            0.007789,            0.007789,            0.007789
                  69,            0.029474,            0.017094,           0.0060521,              0.5159,             0.49472,               0.466,             0.25952,             0.03478,           0.0092674,            0.014631,            0.007756,            0.007756,            0.007756
                  70,            0.029567,            0.016612,           0.0060373,             0.49178,             0.51341,             0.46388,             0.24986,            0.034879,           0.0096317,            0.011408,            0.007723,            0.007723,            0.007723
                  71,            0.028005,            0.016427,           0.0061052,             0.53381,             0.46364,             0.46816,             0.25212,            0.034847,           0.0098914,            0.011569,             0.00769,             0.00769,             0.00769
                  72,            0.029299,              0.0165,           0.0060542,             0.53793,             0.47853,             0.49669,             0.27725,            0.036519,            0.009639,            0.012003,            0.007657,            0.007657,            0.007657
                  73,            0.028183,            0.016518,           0.0061618,             0.50974,             0.44656,             0.45141,              0.2511,            0.035468,            0.010121,            0.012777,            0.007624,            0.007624,            0.007624
                  74,            0.028807,            0.016334,           0.0061943,             0.48256,              0.5049,              0.4843,             0.25273,            0.037492,           0.0098334,            0.017278,            0.007591,            0.007591,            0.007591
                  75,             0.02917,            0.016465,           0.0059342,             0.49367,             0.45637,             0.44728,             0.24191,            0.035289,           0.0096974,            0.014917,            0.007558,            0.007558,            0.007558
                  76,             0.02755,            0.016027,           0.0062723,             0.53888,             0.47153,             0.47982,             0.26429,            0.035637,           0.0099483,            0.013967,            0.007525,            0.007525,            0.007525
                  77,            0.027618,            0.016568,           0.0060108,             0.51496,              0.4646,             0.46341,             0.25722,            0.036568,           0.0094284,            0.011332,            0.007492,            0.007492,            0.007492
                  78,             0.02788,             0.01638,           0.0057524,             0.52951,              0.4831,             0.46963,             0.27236,            0.034456,           0.0098528,             0.01139,            0.007459,            0.007459,            0.007459
                  79,            0.028285,            0.016692,           0.0054326,             0.50937,             0.48281,             0.47367,             0.25895,            0.035423,           0.0094734,            0.010593,            0.007426,            0.007426,            0.007426
